branch,file,function_addr,candidate_pattern,operations,constants,loop_signature,packet_context,confidence,evidence_level,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4937,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x493D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x495D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4963,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4983,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4989,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7474,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7542,xor_add_rotate_accumulation_candidate,DJNZ,"R0,-6",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7365,xor_add_rotate_accumulation_candidate,ANL,"A,#0x7F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x74B8,xor_add_rotate_accumulation_candidate,XRL,"A,#0x04",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x76A9,xor_add_rotate_accumulation_candidate,ADD,"A,#0x40",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x76FC,xor_add_rotate_accumulation_candidate,DJNZ,"R4,-24",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4937,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x493D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x495D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4963,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4983,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4989,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x72C4,xor_add_rotate_accumulation_candidate,DJNZ,"0xF0,-5",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x73EA,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x7316,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x90E9,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x75C6,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9186,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9219,xor_add_rotate_accumulation_candidate,XRL,"A,#0x02",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x4932,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x4938,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x4958,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x495E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x497E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x4984,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x59F1,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A09,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x768C,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x7395,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x766B,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x7670,xor_add_rotate_accumulation_candidate,XRL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x76C7,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x73A3,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x73CF,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x73E2,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x73E8,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x7434,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x7440,xor_add_rotate_accumulation_candidate,DJNZ,"R3,-15",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x745D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x7469,xor_add_rotate_accumulation_candidate,DJNZ,"R3,-15",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x749F,xor_add_rotate_accumulation_candidate,ANL,"A,#0x10",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x73B4,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE03_19_DKS.PZU,0x74C0,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4937,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x493D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x495D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4963,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4983,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4989,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x72C4,xor_add_rotate_accumulation_candidate,DJNZ,"0xF0,-5",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x73EA,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x7316,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x90E9,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x75C6,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9186,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9219,xor_add_rotate_accumulation_candidate,XRL,"A,#0x02",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x4932,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x4938,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x4958,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x495E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x497E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x4984,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x59F1,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x5A09,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x597F,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x768C,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x7395,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x766B,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x7670,xor_add_rotate_accumulation_candidate,XRL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x76C7,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x73A3,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x73CF,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x73E2,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x73E8,xor_add_rotate_accumulation_candidate,ANL,"A,#0x03",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x7434,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x7440,xor_add_rotate_accumulation_candidate,DJNZ,"R3,-15",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x745D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x7469,xor_add_rotate_accumulation_candidate,DJNZ,"R3,-15",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x749F,xor_add_rotate_accumulation_candidate,ANL,"A,#0x10",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x73B4,xor_add_rotate_accumulation_candidate,ANL,"A,#0x01",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_DKS,90CYE04_19_DKS.PZU,0x74C0,xor_add_rotate_accumulation_candidate,ANL,"A,#0x07",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x4932,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x4938,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x4958,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x495E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x497E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x4984,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A03_26.PZU,0x7265,xor_add_rotate_accumulation_candidate,ANL,"A,#0x89",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x4932,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x4938,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x4958,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x495E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x497E,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
A03_A04,A04_28.PZU,0x4984,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
RTOS_service,ppkp2001 90cye01.PZU,0x4219,xor_add_rotate_accumulation_candidate,ANL,"A,#0xC0",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
RTOS_service,ppkp2001 90cye01.PZU,0x4863,xor_add_rotate_accumulation_candidate,DJNZ,"R7,-4",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
RTOS_service,ppkp2001 90cye01.PZU,0x492B,xor_add_rotate_accumulation_candidate,ANL,"A,#0xE0",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
